epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,428.08,1.49025,1.39516,1.58324,0.61452,0.60162,0.58914,0.30052,1.95602,1.56852,1.91696,0.000990365,0.000990365,0.000990365
43,438.361,1.46274,1.33636,1.53089,0.62526,0.57909,0.59734,0.33856,1.81333,1.43065,1.80081,0.000973861,0.000973861,0.000973861
44,448.468,1.47765,1.33458,1.53058,0.78349,0.55813,0.60725,0.34465,1.76457,1.4555,1.83706,0.000957358,0.000957358,0.000957358
45,458.339,1.46531,1.35894,1.53158,0.59757,0.5989,0.5998,0.33671,1.84532,1.43354,1.84098,0.000940855,0.000940855,0.000940855
46,468.279,1.43945,1.31761,1.51849,0.67189,0.56035,0.58586,0.36246,1.74227,1.37602,1.78646,0.000924352,0.000924352,0.000924352
47,478.331,1.46684,1.327,1.52658,0.59949,0.61289,0.61041,0.3772,1.66024,1.33574,1.77448,0.000907848,0.000907848,0.000907848
48,488.656,1.45091,1.33876,1.54715,0.61723,0.6242,0.60744,0.34154,1.81099,1.46517,1.88576,0.000891345,0.000891345,0.000891345
49,499.152,1.43431,1.31923,1.53113,0.64758,0.60911,0.59743,0.31942,1.86477,1.4745,1.87021,0.000874842,0.000874842,0.000874842
50,508.821,1.43836,1.33064,1.54847,0.6171,0.59766,0.61446,0.35119,1.76636,1.36848,1.79178,0.000858338,0.000858338,0.000858338
51,518.67,1.41703,1.27081,1.50248,0.57329,0.60919,0.59655,0.33725,1.75481,1.38252,1.76861,0.000841835,0.000841835,0.000841835
52,529.163,1.44146,1.3353,1.52478,0.60238,0.6205,0.61486,0.32561,1.8382,1.47174,1.82289,0.000825332,0.000825332,0.000825332
53,539.171,1.41322,1.30294,1.49944,0.61197,0.62417,0.61975,0.33349,1.78089,1.39337,1.83073,0.000808828,0.000808828,0.000808828
54,549.283,1.41844,1.3212,1.52465,0.59556,0.64526,0.61009,0.32615,1.87974,1.45385,1.879,0.000792325,0.000792325,0.000792325
55,559.185,1.42228,1.29374,1.50549,0.6258,0.62793,0.60956,0.32478,1.85445,1.40885,1.81416,0.000775822,0.000775822,0.000775822
56,569.567,1.40956,1.29062,1.51111,0.64461,0.64294,0.61601,0.3398,1.80925,1.36051,1.76912,0.000759318,0.000759318,0.000759318
57,579.698,1.38587,1.25867,1.4844,0.62232,0.63545,0.59975,0.316,1.84081,1.38092,1.7807,0.000742815,0.000742815,0.000742815
58,590.221,1.37452,1.25213,1.48527,0.63278,0.64171,0.60782,0.32337,1.86576,1.3774,1.85849,0.000726312,0.000726312,0.000726312
